created_on,operation,property_type,place_name,place_with_parent_names,geonames_id,lat-lon,lat,lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_in_m2,price_usd_per_m2,floor,rooms,expenses,properati_url,image_thumbnail
2013-09-06,rent,apartment,Las Cañitas,|Argentina|Capital Federal|Las Cañitas|,,"-34.570995,-58.433261",-34.570995,-58.433261,5000.0,ARS,5050.18,877.04,60,14.617333333333333,,1,,http://www.properati.com.ar/9qhe_alquiler_departamento_las-canitas,http://cf-thumbs.properati.com.ar/j6R-E8MbDlLvcUnr9AKuBNH9eKA=/198x0/smart/filters:strip_icc()/gestion.mapaprop.com%2Fimages%2Fphotos%2F271%2F37448%2F241296.jpg
2013-09-06,rent,apartment,Palermo,|Argentina|Capital Federal|Palermo|,3430234,"-34.593183,-58.415551",-34.593183,-58.415551,3900.0,ARS,3939.13,684.09,,,,1,,http://www.properati.com.ar/9qhm_alquiler_departamento_palermo,http://cf-thumbs.properati.com.ar/WTsTAgaTm5UJs85Dmw4tCV3dS-c=/198x0/smart/filters:strip_icc()/gestion.mapaprop.com%2Fimages%2Fphotos%2F1158%2F34145%2F218266.jpg
2013-09-06,rent,house,Parque Luro,|Argentina|Buenos Aires Costa Atlántica|Mar del Plata|Parque Luro|,,"-37.967472,-57.560851",-37.967472,-57.560851,5500.0,ARS,5555.17,964.74,,,,4,,http://www.properati.com.ar/9qhr_alquiler_casa_parque-luro,http://cf-thumbs.properati.com.ar/2rLLqRyMsag2bBhl7BfnehM9jkw=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-3177%2Fproperties%2F3%2F8%2Fp-57438-050913055915-143277.jpg
2013-09-06,rent,apartment,Miramar,|Argentina|Buenos Aires Costa Atlántica|Miramar|,3430668,"-38.276897,-57.835222",-38.276897,-57.835222,,"","","",,,,1,,http://www.properati.com.ar/9qhx_alquiler_departamento_miramar,http://cf-thumbs.properati.com.ar/NyeJzr7mr0VJQ4F0McvAu0j79Mk=/198x0/smart/filters:strip_icc()/www.inmokey.com%2Ffiles%2Fc-3384%2Fproperties%2F1%2Fd%2F1d941ff4f454468fa56fe9ca41c9e537.jpg
2013-09-06,rent,apartment,Villa Lugano,|Argentina|Capital Federal|Villa Lugano|,3427408,"-34.659679,-58.470512",-34.659679,-58.470512,2500.0,ARS,2525.09,438.52,,,,,,http://www.properati.com.ar/9qi0_alquiler_departamento_capital-federal,http://cf-thumbs.properati.com.ar/JDSEWlvYK7Lzz-0NvnVfljIm0DE=/198x0/smart/filters:strip_icc()/ar.maixon.com%2Fimg%2Fproperties%2Flarge_5228fef382c77.jpg
2013-09-06,rent,apartment,Hurlingham,|Argentina|Bs.As. G.B.A. Zona Oeste|Hurlingham|,3433522,"-34.597567,-58.659901",-34.597567,-58.659901,1800.0,ARS,1818.04,315.73,60,5.262166666666667,,1,,http://www.properati.com.ar/9qi3_alquiler_departamento_hurlingham,http://cf-thumbs.properati.com.ar/OEhpTLpkxHrLIr5TRrNbtLSvfF8=/198x0/smart/filters:strip_icc()/gestion.mapaprop.com%2Fimages%2Fphotos%2F1324%2F22327%2F138040.jpg
2013-09-06,rent,apartment,Retiro,|Argentina|Capital Federal|Retiro|,3429576,"-34.594099,-58.378519",-34.594099,-58.378519,14000.0,ARS,17913.79,3111.0,,,,3,,http://www.properati.com.ar/9qih_alquiler_departamento_retiro_arenales_800,http://cf-thumbs.properati.com.ar/FiAUfiiX-ZRR4Y234x1N28JwGSg=/198x0/smart/filters:strip_icc()/www.topinmobiliario.com%2Fportal%2Ffot%2FBGN%2FBGN9585A.JPG
2013-09-06,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.594674,-58.387177",-34.594674,-58.387177,2900.0,ARS,3708.28,644.0,28,23.0,7,1,$ 600     ,http://www.properati.com.ar/9qij_alquiler_departamento_recoleta_arenales_1400,http://cf-thumbs.properati.com.ar/T85qg71GQbAS9QD_Rn53gJZxtgQ=/198x0/smart/filters:strip_icc()/www.topinmobiliario.com%2Fportal%2Ffot%2FRG1%2FRG10765A.JPG
2013-09-06,rent,apartment,Parque Centenario,|Argentina|Capital Federal|Parque Centenario|,,"-34.603899,-58.437106",-34.603899,-58.437106,2500.0,ARS,3195.8,555.0,,,,1,,http://www.properati.com.ar/9qil_alquiler_departamento_parque-centenario_frias-eustaquio-tte-general_100,http://cf-thumbs.properati.com.ar/O3932U83DHIARh3N_pO3Oq1kiGc=/198x0/smart/filters:strip_icc()/www.topinmobiliario.com%2Fportal%2Ffot%2FMIG%2FMIG3169A.JPG
2013-09-06,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.595843,-58.388251",-34.595843,-58.388251,20000.0,ARS,25589.49,4444.0,430,10.334883720930232,1,4,$ 5800    ,http://www.properati.com.ar/9qim_alquiler_departamento_recoleta_santa-fe-av-_1500,http://cf-thumbs.properati.com.ar/WAL83s-Ps1Ffzxzl6DZnbI8DWnA=/198x0/smart/filters:strip_icc()/www.topinmobiliario.com%2Fportal%2Ffot%2FRG1%2FRG10764A.JPG
2013-09-06,rent,house,Boulogne Sur Mer,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Boulogne Sur Mer|,,"-34.506557,-58.558095",-34.506557,-58.558095,4300.0,ARS,4343.13,754.25,,,,3,,http://www.properati.com.ar/9qje_alquiler_casa_boulogne-sur-mer,http://cf-thumbs.properati.com.ar/RgHm2FeUNGizgH8xvPbqCzCh-TQ=/198x0/smart/filters:strip_icc()/gestion.mapaprop.com%2Fimages%2Fphotos%2F164%2F12498%2F68795.jpg
2013-09-06,rent,apartment,Beccar,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Beccar|,3436080,"-34.458579,-58.53116",-34.458579,-58.53116,,"","","",65,,,3,,http://www.properati.com.ar/9qjf_alquiler_departamento_beccar,http://cf-thumbs.properati.com.ar/cnJOTex3MBLnRTSE2BGrRGRzx2Y=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F25%2F114638%2Ffiles%2F117040.jpg
2013-09-06,rent,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,3436077,"-34.564273,-58.435483",-34.564273,-58.435483,9000.0,ARS,9090.31,1578.67,140,11.276214285714286,,4,,http://www.properati.com.ar/9qjm_alquiler_departamento_belgrano,http://cf-thumbs.properati.com.ar/n1e1jyIC3hlTO-QIv4LCx5tBjGg=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1235%2F125919%2Ffiles%2F215474.jpg
2013-09-06,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.585613,-58.388037",-34.585613,-58.388037,14000.0,ARS,14140.5,2455.71,130,18.890076923076922,,4,,http://www.properati.com.ar/9qjs_alquiler_departamento_recoleta,http://cf-thumbs.properati.com.ar/M9Wuu09jy-OHLCSI_v2w1pCEy7o=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F219%2F137616%2Ffiles%2F320042.jpg
2013-09-06,rent,apartment,Morón,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,3430544,"-34.665098,-58.622165",-34.665098,-58.622165,,"","","",36,,,2,,http://www.properati.com.ar/9qjy_alquiler_departamento_moron,http://cf-thumbs.properati.com.ar/mDcrgu66PxZj2EtUU0jKLSsn3mE=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1817%2F140671%2Ffiles%2F347979.jpg
2013-09-06,rent,apartment,Morón,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,3430544,"-34.665098,-58.622165",-34.665098,-58.622165,2500.0,ARS,2525.09,438.52,42,10.44095238095238,,2,,http://www.properati.com.ar/9qjz_alquiler_departamento_moron,http://cf-thumbs.properati.com.ar/nm3-7FIkhYTdVFK7oTDH8tCDsA0=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1817%2F140676%2Ffiles%2F348016.jpg
2013-09-06,rent,house,Moreno,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,3430550,"-34.632869,-58.79139",-34.632869,-58.79139,50000.0,ARS,50501.82,8770.4,332,26.416867469879517,,,,http://www.properati.com.ar/9qk7_alquiler_casa_moreno,http://cf-thumbs.properati.com.ar/5uq40DraZ8wW3JvFDjKndQOtjbs=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F108%2F143696%2Ffiles%2F375291.jpg
2013-09-06,rent,apartment,Rafael Castillo,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Rafael Castillo|,3429635,"-34.699352,-58.632148",-34.699352,-58.632148,,"","","",45,,,2,,http://www.properati.com.ar/9qk8_alquiler_departamento_rafael-castillo,http://cf-thumbs.properati.com.ar/mtWUVtGzsDfLXF5-FOm7GIqSiS4=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1817%2F141602%2Ffiles%2F355819.jpg
2013-09-06,rent,house,Rafael Castillo,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Rafael Castillo|,3429635,"-34.692805,-58.625982",-34.692805,-58.625982,1800.0,ARS,1818.04,315.73,55,5.740545454545455,,,,http://www.properati.com.ar/9qk9_alquiler_casa_rafael-castillo,http://cf-thumbs.properati.com.ar/-c9h-9sau1uBAs1LRDb69k2exHQ=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1817%2F141607%2Ffiles%2F355872.jpg
2013-09-06,rent,apartment,San Telmo,|Argentina|Capital Federal|San Telmo|,3428113,"-34.62749,-58.367953",-34.62749,-58.367953,4500.0,ARS,4545.12,789.33,43,18.35651162790698,,2,,http://www.properati.com.ar/9qkc_alquiler_departamento_san-telmo,http://cf-thumbs.properati.com.ar/S06x6OlZDWzE7FykfXamlW3z9q0=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F119%2F143032%2Ffiles%2F369043.jpg
2013-09-06,rent,house,Acassuso,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Acassuso|,3436508,"-34.472325,-58.499662",-34.472325,-58.499662,24000.0,ARS,24240.86,4209.79,432,9.744884259259258,,,,http://www.properati.com.ar/9qke_alquiler_casa_acassuso,http://cf-thumbs.properati.com.ar/r5M3NdbJEgi7GTywlPwC5IpfHW8=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1330%2F143457%2Ffiles%2F378060.jpg
2013-09-06,rent,apartment,Puerto Madero,|Argentina|Capital Federal|Puerto Madero|,3429760,"-34.611075,-58.362588",-34.611075,-58.362588,,"","","",217,,,3,,http://www.properati.com.ar/9qkf_alquiler_departamento_puerto-madero,http://cf-thumbs.properati.com.ar/wyUjUJQR89dgTsf42YPNDr4nnwc=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F9%2F143573%2Ffiles%2F374177.jpg
2013-09-06,rent,apartment,Palermo Chico,|Argentina|Capital Federal|Palermo|Palermo Chico|,,"-34.587087,-58.40783",-34.587087,-58.40783,4700.0,ARS,4747.12,824.41,,,,3,,http://www.properati.com.ar/9qkp_alquiler_departamento_palermo-chico,http://cf-thumbs.properati.com.ar/xV_IYQfmSiOdGaPWHQdbvR76MXE=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F2024%2F143552%2Ffiles%2F373945.jpg
2013-09-06,rent,apartment,Morón,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Morón|,3430544,"-34.653013,-58.621224",-34.653013,-58.621224,,"","","",35,,,2,,http://www.properati.com.ar/9qky_alquiler_departamento_moron,http://cf-thumbs.properati.com.ar/ps89zWNErJIkMNb8r4GWmTiWa7U=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1974%2F143562%2Ffiles%2F374017.jpg
2013-09-06,rent,apartment,Puerto Madero,|Argentina|Capital Federal|Puerto Madero|,3429760,"-34.611075,-58.362588",-34.611075,-58.362588,10000.0,USD,57582.12,10000.0,217,46.08294930875576,,3,,http://www.properati.com.ar/9ql7_alquiler_departamento_puerto-madero,http://cf-thumbs.properati.com.ar/T1nwRvBwD3mNqLOl6CqPa336Cq0=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F9%2F143572%2Ffiles%2F374157.jpg
2013-09-06,rent,apartment,Puerto Madero,|Argentina|Capital Federal|Puerto Madero|,3429760,"-34.611075,-58.362588",-34.611075,-58.362588,10000.0,USD,57582.12,10000.0,217,46.08294930875576,,3,,http://www.properati.com.ar/9ql8_alquiler_departamento_puerto-madero,http://cf-thumbs.properati.com.ar/mJt4ZyfDn2Y5NfgM9i9OVyfUm6Y=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F9%2F143574%2Ffiles%2F374197.jpg
2013-09-06,rent,apartment,Centro / Microcentro,|Argentina|Capital Federal|Centro / Microcentro|,3435548,"-34.603723,-58.381593",-34.603723,-58.381593,,"","","",100,,,2,,http://www.properati.com.ar/9qlc_alquiler_departamento_centro-microcentro,http://cf-thumbs.properati.com.ar/xPp4ZnoDYlALdxpXM9gNNOaTR_g=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F2050%2F143579%2Ffiles%2F374351.jpg
2013-09-06,rent,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,3429595,"-34.587491,-58.38463",-34.587491,-58.38463,3100.0,ARS,3131.08,543.76,47,11.56936170212766,,2,,http://www.properati.com.ar/9qld_alquiler_departamento_recoleta,http://cf-thumbs.properati.com.ar/K9zOxVS01G30f9W3H1jZa5yq23k=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F24%2F143580%2Ffiles%2F374277.jpg
2013-09-06,rent,apartment,Córdoba,|Argentina|Córdoba|Córdoba|,3860259,"-31.42721,-64.191633",-31.42721,-64.191633,610.0,ARS,616.07,106.99,40,2.67475,,2,,http://www.properati.com.ar/9qlf_alquiler_departamento_cordoba,http://cf-thumbs.properati.com.ar/SgCSWmj_gG_P3l5KupcRbLm7N4k=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F2029%2F143583%2Ffiles%2F374338.jpg
2013-09-06,rent,apartment,Palermo Soho,|Argentina|Capital Federal|Palermo|Palermo Soho|,3430234,"-34.590351,-58.424095",-34.590351,-58.424095,5000.0,ARS,5050.18,877.04,38,23.08,,1,,http://www.properati.com.ar/9qli_alquiler_departamento_palermo-soho,http://cf-thumbs.properati.com.ar/86YismhFe2vFVzJ_9QvCUwWress=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F1878%2F143586%2Ffiles%2F374381.jpg
2013-09-06,rent,house,Tigre,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,3427753,"-34.466808,-58.624752",-34.466808,-58.624752,24000.0,ARS,24240.86,4209.79,250,16.83916,,,,http://www.properati.com.ar/9qlm_alquiler_casa_tigre,http://cf-thumbs.properati.com.ar/W6optlCmL66jZAQKQoAzus0s8es=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F25%2F143590%2Ffiles%2F376778.jpg
2013-09-06,rent,apartment,Lanús Oeste,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,,"-34.684416,-58.39769",-34.684416,-58.39769,2400.0,ARS,2424.03,420.97,60,7.016166666666667,,2,,http://www.properati.com.ar/9qlp_alquiler_departamento_lanus-oeste,http://cf-thumbs.properati.com.ar/EZx0kKbqq-qcOoLHS8pZiZpZL3k=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F181%2F143594%2Ffiles%2F374466.jpg
2013-09-06,rent,apartment,Lanús Oeste,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Oeste|,,"-34.704466,-58.415386",-34.704466,-58.415386,1500.0,ARS,1515.04,263.11,20,13.1555,,1,,http://www.properati.com.ar/9qlt_alquiler_departamento_lanus-oeste,http://cf-thumbs.properati.com.ar/nQb1LLACaxvSLvMAIlo_mho2mdI=/198x0/smart/filters:strip_icc()/static.previsite.com.ar%2F318%2F143597%2Ffiles%2F374556.jpg
